gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn
0.0,0.28125,0.2520661157024794,0.0,0.0,0.2819270239452679,0.61,0.2818578135479544,0.3007518796992481,0.05263157894736842,0.6666666666666666,0.1111111111111111,0
0.0,0.328125,0.6115702479338844,0.0,0.0,0.5595781071835804,0.385,0.5595238095238095,0.33834586466165406,0.15789473684210525,0.5,0.2222222222222222,0
0.0,0.734375,0.5165289256198348,0.0,0.0,0.16590649942987457,0.5950000000000001,0.16582830315224684,0.36842105263157887,0.05263157894736842,0.6666666666666666,0.5555555555555556,1
0.0,0.09375,0.5371900826446281,0.0,1.0,0.6106043329532497,0.47500000000000003,0.6104963112005365,0.45112781954887216,0.21052631578947367,0.5,0.3333333333333333,0
0.0,0.34375,0.7851239669421488,0.0,0.0,0.4618015963511972,0.545,0.46177062374245476,0.30827067669172925,0.3684210526315789,0.5,0.1111111111111111,0
1.0,0.671875,0.8429752066115703,0.0,1.0,0.5011402508551881,0.39,0.5011737089201879,0.16541353383458646,0.2631578947368421,0.5,0.2222222222222222,0
1.0,0.203125,0.25619834710743805,0.0,0.0,0.6020524515393386,0.6150000000000001,0.601945003353454,0.12030075187969924,0.10526315789473684,0.6666666666666666,0.0,0
1.0,0.25,0.4669421487603306,0.0,1.0,0.6436716077537058,0.42000000000000004,0.6436955063715628,0.43609022556390975,0.47368421052631576,0.5,0.4444444444444444,0
1.0,0.25,0.4380165289256199,0.0,0.0,0.38198403648802737,0.365,0.3819584171696848,0.27819548872180444,0.15789473684210525,0.3333333333333333,0.3333333333333333,0
0.0,0.1875,0.34297520661157027,0.0,0.0,0.21465222348916763,0.6150000000000001,0.21462105969148226,0.6917293233082705,0.05263157894736842,0.6666666666666666,0.1111111111111111,0
0.0,0.078125,0.5826446280991736,0.0,0.0,0.4144811858608894,0.545,0.41448692152917505,0.40601503759398494,0.05263157894736842,0.5,0.1111111111111111,0
0.0,0.046875,0.5619834710743802,0.0,0.0,0.5952109464082097,0.555,0.5952380952380952,0.6616541353383458,0.2631578947368421,0.5,0.0,0
1.0,0.1875,0.4090909090909091,0.0,1.0,0.6234321550741163,0.605,0.6234071093226023,0.5639097744360902,0.21052631578947367,0.6666666666666666,0.1111111111111111,0
1.0,0.40625,0.34297520661157027,0.0,0.0,0.45467502850627134,0.36000000000000004,0.454728370221328,0.3007518796992481,0.21052631578947367,0.3333333333333333,0.2222222222222222,0
0.0,0.421875,0.40495867768595045,0.0,0.0,0.5701254275940707,0.5700000000000001,0.5700871898054997,0.3007518796992481,0.10526315789473684,0.6666666666666666,0.3333333333333333,0
1.0,0.328125,0.4710743801652893,0.0,0.0,0.6984036488027365,0.685,0.6983568075117371,0.6165413533834586,0.42105263157894735,0.6666666666666666,0.1111111111111111,1
0.0,0.640625,0.7975206611570248,0.0,0.0,0.1379703534777651,0.91,0.13799463447350774,0.33834586466165406,0.05263157894736842,0.8333333333333333,0.1111111111111111,0
0.0,0.421875,0.30991735537190085,0.0,0.0,0.7508551881413911,0.5700000000000001,0.7508383635144199,0.443609022556391,0.2631578947368421,0.6666666666666666,0.1111111111111111,1
1.0,0.21875,0.3842975206611571,0.0,0.0,0.3919612314709236,0.67,0.392018779342723,0.669172932330827,0.10526315789473684,0.6666666666666666,0.0,0
